#{"t_start": 1615654246.0842369, "env_id": "MountainCarContinuous-v0"}
r,l,t
93.47232,95,1473.462956
94.348994,81,1474.611676
92.883479,94,1476.372215
94.300001,76,1478.098325
92.999858,111,1479.894195
94.847952,81,1481.618856
94.50256,86,1482.958397
95.284104,74,1484.631754
94.472697,76,1485.717794
93.080311,84,1487.346692
94.177077,72,1488.619298
95.547812,74,1489.74551
94.521876,77,1491.42394
94.838424,77,1492.553953
94.950569,73,1493.675012
93.710221,78,1495.330873
93.446107,94,1497.094563
94.416895,77,1498.250528
95.084259,72,1499.377645
93.058809,92,1501.038532
95.307175,79,1502.765122
94.779246,75,1504.012793
92.831147,85,1505.726753
94.690716,76,1506.85451
90.059056,159,1509.810403
95.383386,76,1510.959845
94.647622,77,1512.667137
94.911645,78,1513.971721
92.583835,129,1516.314996
95.004026,80,1518.001047
94.52246,79,1519.143209
94.420249,83,1520.808602
94.132598,74,1522.019421
94.091475,94,1523.876517
94.782661,76,1525.000254
94.781792,88,1526.659872
94.833007,76,1528.297903
95.487071,84,1529.44135
94.813372,76,1531.052587
94.104276,74,1532.166503
92.971178,84,1533.982494
95.089566,84,1535.307249
93.828902,78,1537.048871
94.647439,98,1538.939652
94.250684,69,1540.07428
94.563108,75,1541.279155
95.503326,76,1542.969103
93.745619,78,1544.106496
94.056643,78,1545.239054
94.753493,84,1547.065258
94.774106,83,1548.792086
94.094659,83,1549.887977
94.801833,76,1551.594887
95.59057,82,1552.723816
93.993167,90,1554.35935
94.891107,69,1555.455306
94.176414,83,1557.117494
93.425408,88,1558.266292
94.426265,85,1559.904809
93.585226,84,1561.624325
93.866952,81,1562.896624
94.654196,83,1564.609631
94.723836,70,1565.831872
94.426419,117,1568.275493
94.221588,96,1570.025037
93.735614,84,1571.164548
94.191133,79,1572.866416
96.253602,77,1573.967435
93.766638,81,1575.722926
94.598502,74,1576.892054
94.854893,84,1578.624722
94.219176,76,1579.872193
94.157962,83,1581.629319
95.480958,82,1582.867237
93.798776,83,1584.714501
